Date,Price,Date2,Open,High,Low,closed price,Vol.,Change %,absolute,Volatility,,daily volatility in %,,,,,,,,,,,,,,,,,,,
"Feb 26, 2020",27.56,"Feb 26, 2020",26.63,29.57,24.76,27.56,-,-1.04%,1%,4.81,,18.06%,,,,,,,,,,,,,,,,,,,
"Feb 25, 2020",27.85,"Feb 25, 2020",22.19,30.25,22.19,27.85,-,11.27%,11%,8.06,,36.32%,,,,,,,,,,,,,,,,,,,
"Feb 24, 2020",25.03,"Feb 24, 2020",22.25,26.35,22,25.03,-,46.55%,47%,4.35,,19.55%,,,,,,,,,,,,,,,,,,,
"Feb 21, 2020",17.08,"Feb 21, 2020",17.33,18.21,16.19,17.08,-,9.77%,10%,2.02,,11.66%,,,,,,,,,,,,,,,,,,,
"Feb 20, 2020",15.56,"Feb 20, 2020",14.54,17.21,14.49,15.56,-,8.21%,8%,2.72,,18.71%,,,,,,,,,,,,,,,,,,,
"Feb 19, 2020",14.38,"Feb 19, 2020",14.66,14.74,14.21,14.38,-,-3.03%,3%,0.53,,3.62%,,,,,,,,,,,,,,,,,,,
"Feb 18, 2020",14.83,"Feb 18, 2020",14.98,15.49,14.53,14.83,-,8.41%,8%,0.96,,6.41%,,,,,,,,,,,,,,,,,,,
"Feb 14, 2020",13.68,"Feb 14, 2020",14.12,14.54,13.38,13.68,-,-3.32%,3%,1.16,,8.22%,,,,,,,,,,,,,,,,,,,
"Feb 13, 2020",14.15,"Feb 13, 2020",14.43,15.44,14,14.15,-,2.98%,3%,1.44,,9.98%,,,,,,,,,,,,,,,,,,,
"Feb 12, 2020",13.74,"Feb 12, 2020",14.86,14.88,13.73,13.74,-,-9.49%,9%,1.15,,7.74%,,,,,,,,,,,,,,,,,,,
"Feb 11, 2020",15.18,"Feb 11, 2020",14.91,15.27,14.38,15.18,-,0.93%,1%,0.89,,5.97%,,,,,,,,,,,,,,,,,,,
"Feb 10, 2020",15.04,"Feb 10, 2020",15.88,16.43,15.01,15.04,-,-2.78%,3%,1.42,,8.94%,,,,,,,,,,,,,,,,,,,
"Feb 07, 2020",15.47,"Feb 07, 2020",15.07,16.16,14.81,15.47,-,3.41%,3%,1.35,,8.96%,,,,,,,,,,,,,,,,,,,
"Feb 06, 2020",14.96,"Feb 06, 2020",15.13,15.66,14.7,14.96,-,-1.25%,1%,0.96,,6.35%,,,,,,,,,,,,,,,,,,,
"Feb 05, 2020",15.15,"Feb 05, 2020",16.29,16.32,15.02,15.15,-,-5.61%,6%,1.3,,7.98%,,,,,,,,,,,,,,,,,,,
